使用順,フォルダ,ファイル名,撮影日時,横px,縦px,向き
2,add,2013年前期後期から斎藤登場.jpg,2013:09:27 08:42:01,1920,1440,横
7,add,2015三月.jpg,2015:03:23 08:07:05,1920,1440,横
9,add,2015年前期.jpg,2015:04:24 08:26:04,1920,1440,横
,add,2016年前半スタッフ修練医フェロー.jpg,2016:05:23 16:40:12,1920,1440,横
,add,2016年度後半.jpg,2017:03:27 21:06:28,1920,1440,横
5,add,3開院.jpg,,1920,1080,横
10,add,5first_surgery.jpg,,1920,1080,横
12,add,IMG_2374.jpg,2016:05:30 22:07:34,1920,1440,横
14,add,スクリーンショット_2026-07-26_10.26.38.jpg,,1920,1082,横
16,add,スクリーンショット_2026-07-26_10.27.08.jpg,,1920,1079,横
33,add,スクリーンショット_2026-07-26_14.48.03.jpg,,1920,1075,横
36,add,スクリーンショット_2026-07-26_14.48.17.jpg,,1920,1079,横
55,bridge,120167_b19cd8fb0ec04df0aba8215e1acad532~mv2.jpg.jpg,,1920,1416,横
61,bridge,3FD3ABAF-3155-478F-88B2-BBE76A39CDBA.jpg,,1920,1440,横
63,bridge,67021D6A-E5CC-4C5B-8908-07663F03DD2E.jpg,,1920,1440,横
,bridge,7DC8739D-CF47-49D8-A351-2491438956F7.jpg,,1920,1440,横
,bridge,IMG_0136.jpg,2014:01:10 08:57:01,1920,1440,横
20,bridge,IMG_0305.jpg,2019:03:22 18:09:53,1920,1440,横
,bridge,IMG_1133.jpg,2021:08:11 18:55:02,1920,1440,横
,bridge,IMG_1141.jpg,2025:09:29 19:20:44,1920,1440,横
,bridge,IMG_3108.jpg,2024:06:26 08:39:02,1920,1440,横
,bridge,IMG_3110.jpg,2024:06:26 08:39:28,1920,1440,横
,bridge,IMG_3574.jpg,2019:10:09 08:45:32,1920,1440,横
,bridge,IMG_3869.jpg,2024:10:11 18:03:33,1920,1440,横
,bridge,IMG_3874.jpg,2024:10:11 18:10:36,1920,1440,横
,bridge,IMG_3900.jpg,,1920,1439,横
,bridge,IMG_6262.jpg,2020:07:17 08:28:26,1920,1440,横
,bridge,IMG_7685.jpg,2023:04:07 19:02:58,1920,1440,横
,bridge,IMG_9104.jpg,2021:06:07 08:15:11,1920,1440,横
,byoto,IMG_1327.jpg,2012:12:21 18:10:47,1920,1440,横
,byoto,IMG_3149.jpg,2021:03:31 08:29:26,1920,1440,横
26,byoto,IMG_9875.jpg,2021:09:29 19:20:44,1920,1440,横
15,collage,01.jpg,,1920,1088,横
46,collage,02.jpg,,1920,1089,横
17,collage,03.jpg,,1920,1075,横
29,collage,04.jpg,,1920,1070,横
47,collage,05.jpg,,1920,1076,横
48,collage,06.jpg,,1920,1023,横
49,collage,07.jpg,,1920,977,横
37,collage,08.jpg,,1920,1066,横
35,collage,09.jpg,,1920,1075,横
50,collage,10.jpg,,1920,1083,横
51,collage,11.jpg,,1920,1081,横
42,collage,12.jpg,,1920,1063,横
39,collage,13.jpg,,1920,1018,横
52,collage,14.jpg,,1920,1072,横
18,collage,15.jpg,,1920,1075,横
4,collage,16.jpg,,1920,1155,横
,conference,IMG_0475.jpg,2021:04:19 19:02:29,1920,1440,横
,conference,IMG_0763.jpg,2021:05:17 08:20:20,1920,1440,横
,conference,IMG_0807.jpg,2021:05:28 08:10:08,1920,1440,横
,conference,IMG_0834.jpg,2021:06:04 08:18:54,1920,1440,横
,conference,IMG_0890.jpg,2021:06:14 07:40:24,1920,1440,横
,conference,IMG_1037.jpg,2021:07:16 08:29:42,1920,1440,横
,conference,IMG_8582.jpg,2024:05:17 08:30:17,1920,1440,横
