順番,種別,フォルダ,ファイル名,秒数,セピア,キャプション,切り替え,撮影日時,開始秒,開始フレーム
1,slide,slides,01-title.jpg,8,,,,,0,0
2,photo,addition2,IMG_6266.jpg,4.4,,,,2020:07:17 08:29:06,7.3,219
3,slide,slides,02-enkaku.jpg,8,,,,,11,330
4,photo,collage,16.jpg,4,,,,,18.3,549
5,slide,add,3開院.jpg,4,,,,,21.6,648
6,slide,slides,04-kono-hi-kara.jpg,4,,,,,24.9,747
7,photo,add,2015三月.jpg,4,1,,,2015:03:23 08:07:05,28.2,846
8,slide,slides,03-kaiin-toji.jpg,4,,,,,31.5,945
9,photo,add,2015年前期.jpg,4,,,,2015:04:24 08:26:04,34.8,1044
10,slide,add,5first_surgery.jpg,8,,,,,38.1,1143
11,photo,history,9be842d9.jpg,4,1,,,,45.4,1362
12,photo,add,IMG_2374.jpg,4,,,,2016:05:30 22:07:34,48.7,1461
13,slide,slides,05-manabiya-title.jpg,4,,,アイリス,,52,1560
14,photo,collage,01.jpg,5,,,,,55.3,1659
15,slide,add,スクリーンショット_2026-07-26_10.26.38.jpg,6,,,,,59.6,1788
16,photo,collage,03.jpg,5,,,,,64.9,1947
17,slide,addition2,スクリーンショット_2026-07-28_16.14.39.jpg,5,,,,,69.2,2076
18,photo,collage,15.jpg,5,,,,,73.5,2205
19,slide,add,スクリーンショット_2026-07-26_10.27.08.jpg,6,,,,,77.8,2334
20,photo,or,cache_Messagep8464.jpg,5,,,,2021:08:13 16:24:10,83.1,2493
21,photo,bridge,IMG_0305.jpg,5,,,,2019:03:22 18:09:53,87.4,2622
22,photo,or,IMG_2953.jpg,5,,,,2019:03:29 15:31:13,91.7,2751
23,photo,or,IMG_8659.jpg,5,,,,2024:05:24 12:10:01,96,2880
24,photo,or,IMG_9883.jpg,5,,,,2025:01:06 11:58:25,100.3,3009
25,photo,gairai,IMG_3154.jpg,5,,,,2021:03:31 17:57:42,104.6,3138
26,photo,byoto,IMG_9875.jpg,5,,,,2021:09:29 19:20:44,108.9,3267
27,photo,collage,04.jpg,5,,,,,113.2,3396
28,slide,slides,12-sakai.jpg,7,,,ワイプ右,,117.5,3525
29,photo,sakai,IMG_2675.jpg,5,,,,,123.8,3714
30,slide,add,スクリーンショット_2026-07-26_14.48.03.jpg,6,,,,,128.1,3843
31,photo,fellows-intl,295b2717-e99e-4b5a-9a0f-f8de1ca5e74e.jpg,4.8,,,,,133.4,4002
32,photo,collage,09.jpg,6,,,,,137.5,4125
33,slide,add,スクリーンショット_2026-07-26_14.48.17.jpg,6,,,,,142.8,4284
34,photo,collage,08.jpg,5.6,,,,,148.1,4443
35,photo,fellows-intl,IMG_4707.jpg,4.6,,,,2025:10:29 21:00:18,153,4590
36,photo,collage,13.jpg,4.6,,,,,156.9,4707
37,photo,fellows-intl,IMG_5714.jpg,4.6,,,,,160.8,4824
38,photo,fellows-intl,IMG_9625.jpg,4.6,,,,,164.7,4941
39,photo,collage,12.jpg,4.6,,,,,168.6,5058
40,slide,addition2,スクリーンショット_2026-07-28_16.17.49.jpg,6,,,,,172.5,5175
41,photo,fellows-jp,IMG_0088.jpg,4.6,,,,2025:03:05 10:25:27,177.8,5334
42,photo,fellows-jp,IMG_2623.jpg,4.6,,,,,181.7,5451
43,photo,add,2013年前期後期から斎藤登場.jpg,4.6,,,,2013:09:27 08:42:01,185.6,5568
44,slide,slides,08-nihon-sekai.jpg,5.4,,,スライド左,,189.5,5685
45,photo,collage,02.jpg,5.4,,,,,194.2,5826
46,photo,collage,05.jpg,5.4,,,,,198.9,5967
47,photo,collage,06.jpg,5.4,,,,,203.6,6108
48,photo,collage,07.jpg,5.4,,,,,208.3,6249
49,photo,collage,10.jpg,5.4,,,,,213,6390
50,photo,collage,11.jpg,5.4,,,,,217.7,6531
51,photo,collage,14.jpg,5.4,,,,,222.4,6672
52,slide,add3,cert_out1.jpg,5.4,,,,,227.1,6813
53,photo,group,05755B0B-0A5B-49CD-BF06-8D1AF26BDFCB.jpg,5.2,,,,,231.8,6954
54,photo,group,EDE4935B-45DB-4485-ACC1-455FE3959347.jpg,5.2,,,,,236.3,7089
55,photo,group,IMG_1252.jpg,5.2,,,,,240.8,7224
56,photo,group,IMG_3668.jpg,5.2,,,,2024:09:13 13:17:03,245.3,7359
57,photo,addition2,IMG_9982.jpg,5,,,,,249.8,7494
58,photo,group,IMG_5027.jpg,5,,,,2025:02:18 23:05:06,254.1,7623
59,photo,group,IMG_9912.jpg,5,,,,2023:06:29 16:33:20,258.4,7752
60,slide,add3,FHD_スクリーンショット_2026-08-01_0.23.06.png,3.92,,,,,262.7,7881
61,slide,slides,09-legacy.jpg,5,,,時計,,265.92,7978
62,photo,bridge,3FD3ABAF-3155-478F-88B2-BBE76A39CDBA.jpg,6,,,,,270.22,8107
63,slide,slides,10-mirai.jpg,4.17,,,めくり,,275.52,8266
64,photo,bridge,67021D6A-E5CC-4C5B-8908-07663F03DD2E.jpg,6,,,,,278.99,8370
